Step Index,Position [Deg],Attenuation [dB],Throughput [Mbps],Beacon RSSI [dBm],Data RSSI [dBm]
0,NA,0,39.87,-35,-42
1,NA,0,18.97,-34,-34
2,NA,0,165.61,-35,-42
3,NA,0,115.95,-35,-35
4,NA,0,52.84,-35,-42
5,NA,0,80.86,-35,-42
6,NA,0,205.11,-34,-43
7,NA,0,166.92,-35,-35
8,NA,0,103.56,-35,-42
9,NA,0,127.92,-35,-43
10,NA,0,230.84,-35,-43
11,NA,0,211.48,-34,-35
12,NA,0,159.64,-35,-42
13,NA,0,167.77,-34,-43
14,NA,0,243.50,-34,-43
15,NA,0,224.87,-35,-35
16,NA,0,183.53,-35,-43
17,NA,0,183.53,-35,-43
18,NA,0,249.39,-35,-43
19,NA,0,228.19,-35,-35
20,NA,0,192.16,-35,-43
21,NA,0,220.30,-35,-42
22,NA,0,27.22,-35,-43
23,NA,0,0,-35,-35
24,NA,0,195.86,-35,-42
25,NA,0,218.29,-35,-42
