"TX Completion vs Calculated Power",
"Calculated Power","ch6-UDP-DUT-TX-1NSS-20Mhz-802.11b-MTU/TX Completion %","Calculated Power","ch6-UDP-DUT-RX-1NSS-20Mhz-802.11b-MTU/TX Completion %","Calculated Power","ch6-TCP-DUT-TX-1NSS-20Mhz-802.11b-MTU/TX Completion %","Calculated Power","ch6-TCP-DUT-RX-1NSS-20Mhz-802.11b-MTU/TX Completion %",
-105,100,-55,100,-100,100,-85,84.04908,
-100,100,-50,52.45902,-95,100,-75,98.07958,
-95,100,-45,-4.6729,-85,100,-70,99.58493,
-90,100,-40,99.78799,-80,100,-65,100,
-85,100,-35,99.83143,-75,100,-60,99.99312,
-80,100,-30,99.78597,-70,100,-55,99.83258,
-75,100,-25,99.79999,-65,100,-50,100,
-70,100,-20,99.84362,-60,100,-45,99.93413,
-65,100,-15,99.85932,-55,100,-40,99.93472,
-60,100,-10,99.8317,-50,100,-35,99.94119,
-55,100,NA,NA,-45,100,-30,99.99466,
-50,100,NA,NA,-40,100,-25,100,
-45,100,NA,NA,-35,100,-20,99.99455,
-40,100,NA,NA,-30,100,-15,99.99472,
-35,100,NA,NA,-25,100,-10,100,
-30,100,NA,NA,-20,100,NA,NA,
-25,100,NA,NA,-15,100,NA,NA,
-20,100,NA,NA,-10,100,NA,NA,
-15,100,NA,NA,NA,NA,NA,NA,
-10,100,NA,NA,NA,NA,NA,NA,
