Port,Type,Value
sta01000,UDP-Download,7.945
sta01000,UDP-Upload,0
sta01000,total,7.945
sta01001,UDP-Download,7.995
sta01001,UDP-Upload,0
sta01001,total,7.995
sta01002,UDP-Download,7.988
sta01002,UDP-Upload,0
sta01002,total,7.988
sta01003,UDP-Download,7.954
sta01003,UDP-Upload,0
sta01003,total,7.954
sta01004,UDP-Download,7.976
sta01004,UDP-Upload,0
sta01004,total,7.976
sta01005,UDP-Download,7.962
sta01005,UDP-Upload,0
sta01005,total,7.962
sta01006,UDP-Download,7.948
sta01006,UDP-Upload,0
sta01006,total,7.948
sta01007,UDP-Download,7.945
sta01007,UDP-Upload,0
sta01007,total,7.945
